,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
181,63.913,RED,64.6146562827,63.066,64.6146562827,64.132,1514436960,2017-12-28 04:56:00
182,62.911,RED,64.2638281414,62.504,64.2638281414,62.504,1514438760,2017-12-28 05:26:00
183,61.8475,RED,63.99,61.0,63.5874140707,61.2,1514440560,2017-12-28 05:56:00
184,61.778,RED,62.899,61.006,62.7174570353,61.602,1514442360,2017-12-28 06:26:00
185,61.3025,RED,62.2477285177,61.0,62.2477285177,61.001,1514444160,2017-12-28 06:56:00
186,62.1365,GREEN,62.687,60.5,61.7751142588,62.68,1514445960,2017-12-28 07:26:00
187,63.01525,GREEN,63.376,61.9558071294,61.9558071294,63.371,1514447760,2017-12-28 07:56:00
188,62.0945,RED,63.371,62.006,62.4855285647,61.001,1514449560,2017-12-28 08:26:00
189,61.70575,RED,62.2900142824,61.0,62.2900142824,61.899,1514451360,2017-12-28 08:56:00
190,62.139,GREEN,62.469,61.75,61.9978821412,62.169,1514453160,2017-12-28 09:26:00
191,63.03225,GREEN,63.373,62.034,62.0684410706,63.361,1514454960,2017-12-28 09:56:00
192,63.23675,GREEN,63.361,62.5503455353,62.5503455353,63.293,1514456760,2017-12-28 10:26:00
193,62.49475,RED,63.373,62.0,62.8935477676,62.303,1514458560,2017-12-28 10:56:00
194,61.15475,RED,62.99,60.421,62.6941488838,60.604,1514460360,2017-12-28 11:26:00
195,61.0675,RED,61.9244494419,60.604,61.9244494419,61.1,1514462160,2017-12-28 11:56:00
196,61.458,RED,62.627,61.005,61.495974721,61.1,1514463960,2017-12-28 12:26:00
197,61.2995,RED,61.536,60.659,61.4769873605,61.501,1514465760,2017-12-28 12:56:00
198,62.24725,GREEN,62.5,61.3882436802,61.3882436802,62.494,1514467560,2017-12-28 13:26:00
199,61.9705,GREEN,62.549,61.773,61.8177468401,61.78,1514469360,2017-12-28 13:56:00
200,61.33525,RED,61.8941234201,60.672,61.8941234201,61.444,1514471160,2017-12-28 14:26:00
201,61.15575,RED,61.785,60.838,61.61468671,61.0,1514472960,2017-12-28 14:56:00
202,61.17,RED,61.784,60.842,61.385218355,61.027,1514474760,2017-12-28 15:26:00
203,61.595,GREEN,61.8,61.027,61.2776091775,61.778,1514476560,2017-12-28 15:56:00
204,61.5385,GREEN,61.778,61.0,61.4363045888,61.688,1514478360,2017-12-28 16:26:00
205,61.198,RED,61.792,61.0,61.4874022944,61.0,1514480160,2017-12-28 16:56:00
206,60.251,RED,61.3427011472,60.0,61.3427011472,60.0,1514481960,2017-12-28 17:26:00
207,60.2925,RED,60.7968505736,60.0,60.7968505736,60.39,1514483760,2017-12-28 17:56:00
208,59.6035,RED,60.5446752868,59.0,60.5446752868,59.503,1514485560,2017-12-28 18:26:00
209,58.63175,RED,60.0740876434,58.388,60.0740876434,58.1,1514487360,2017-12-28 18:56:00
210,57.3,RED,59.3529188217,56.1,59.3529188217,57.3,1514489160,2017-12-28 19:26:00
211,58.42675,GREEN,59.396,57.3,58.3264594108,58.505,1514490960,2017-12-28 19:56:00
212,59.87775,GREEN,60.791,58.3766047054,58.3766047054,60.005,1514492760,2017-12-28 20:26:00
213,59.94775,GREEN,60.593,59.1271773527,59.1271773527,59.975,1514494560,2017-12-28 20:56:00
214,60.18675,GREEN,60.766,59.5374636764,59.5374636764,60.003,1514496360,2017-12-28 21:26:00
215,60.2565,GREEN,60.748,59.8621068382,59.8621068382,60.139,1514498160,2017-12-28 21:56:00
216,60.48275,GREEN,60.6,60.0593034191,60.0593034191,60.596,1514499960,2017-12-28 22:26:00
217,60.5635,GREEN,60.853,60.001,60.2710267095,60.7,1514501760,2017-12-28 22:56:00
218,60.71575,GREEN,61.479,60.384,60.4172633548,60.5,1514503560,2017-12-28 23:26:00
219,63.05,GREEN,63.9,60.5,60.5665066774,63.9,1514505360,2017-12-28 23:56:00
220,63.98525,GREEN,64.55,61.8082533387,61.8082533387,64.075,1514507160,2017-12-29 00:26:00
221,64.259,GREEN,64.595,62.8967516693,62.8967516693,64.291,1514508960,2017-12-29 00:56:00
222,63.3735,RED,64.291,62.715,63.5778758347,63.243,1514510760,2017-12-29 01:26:00
223,62.54525,RED,63.4756879173,61.268,63.4756879173,62.834,1514512560,2017-12-29 01:56:00
224,63.72,GREEN,64.294,61.998,63.0104689587,64.294,1514514360,2017-12-29 02:26:00
225,64.22025,GREEN,64.3,63.3652344793,63.3652344793,64.3,1514516160,2017-12-29 02:56:00
226,64.12675,GREEN,64.3,63.609,63.7927422397,64.299,1514517960,2017-12-29 03:26:00
227,64.62325,GREEN,64.732,63.9597461198,63.9597461198,64.732,1514519760,2017-12-29 03:56:00
228,64.183,RED,64.732,64.0,64.2914980599,64.0,1514521560,2017-12-29 04:26:00
229,65.41875,GREEN,66.129,64.0,64.23724903,65.773,1514523360,2017-12-29 04:56:00
230,64.13475,RED,65.773,62.95,64.827999515,64.05,1514525160,2017-12-29 05:26:00
231,63.67275,RED,64.4813747575,63.111,64.4813747575,63.765,1514526960,2017-12-29 05:56:00
232,63.9325,RED,64.147,63.292,64.0770623787,64.147,1514528760,2017-12-29 06:26:00
233,63.50575,RED,64.147,63.292,64.0047811894,63.292,1514530560,2017-12-29 06:56:00
234,63.35425,RED,63.904,63.113,63.7552655947,63.2,1514532360,2017-12-29 07:26:00
235,62.5,RED,63.5547577973,62.0,63.5547577973,62.4,1514534160,2017-12-29 07:56:00
236,62.368,RED,63.0273788987,62.202,63.0273788987,62.2,1514535960,2017-12-29 08:26:00
237,61.64875,RED,62.6976894493,61.2,62.6976894493,61.988,1514537760,2017-12-29 08:56:00
238,61.639,RED,62.1732197247,60.344,62.1732197247,63.1,1514539560,2017-12-29 09:26:00
239,61.405,RED,63.1,61.122,61.9061098623,60.255,1514541360,2017-12-29 09:56:00
240,60.8635,RED,61.89,60.111,61.6555549312,61.035,1514543160,2017-12-29 10:26:00
241,60.33375,RED,61.2595274656,60.1,61.2595274656,60.1,1514544960,2017-12-29 10:56:00
242,59.55475,RED,60.7966387328,59.311,60.7966387328,59.354,1514546760,2017-12-29 11:26:00
