[Trader][2018-01-24 10:57:11,142][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:57:11,142][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:07:11.142433
[Trader][2018-01-24 11:07:09,010][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:57:00
[Trader][2018-01-24 11:07:09,658][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:57:00
[Trader][2018-01-24 11:07:09,658][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:57:00
[Trader][2018-01-24 11:07:10,192][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:07:10,193][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:07:10,194][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:17:10.194329
[Trader][2018-01-24 11:07:11,163][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:57:00
[Trader][2018-01-24 11:07:11,251][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:07:11,251][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:07:11,252][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:07:11,252][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:07:11,253][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:17:11.253408
[Trader][2018-01-24 11:07:11,253][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:17:11.253380
[Trader][2018-01-24 11:07:12,378][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:07:12,379][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:07:12,380][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:17:12.380343
[Trader][2018-01-24 11:17:10,226][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:07:00
[Trader][2018-01-24 11:17:11,285][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:07:00
[Trader][2018-01-24 11:17:11,285][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:07:00
[Trader][2018-01-24 11:17:12,412][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:07:00
[Trader][2018-01-24 11:17:12,443][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:17:12,444][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:17:12,444][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:27:12.444730
[Trader][2018-01-24 11:17:12,654][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:17:12,655][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:17:12,656][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:27:12.656621
[Trader][2018-01-24 11:17:13,066][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:17:13,067][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:17:13,068][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:27:13.068246
[Trader][2018-01-24 11:17:14,579][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:17:14,580][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:17:14,581][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:27:14.581111
[Trader][2018-01-24 11:27:12,481][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:17:00
[Trader][2018-01-24 11:27:12,694][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:17:00
[Trader][2018-01-24 11:27:13,104][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:17:00
[Trader][2018-01-24 11:27:13,107][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:27:13,108][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:27:13,109][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:37:13.109164
